     28011,     -994113,    -1018649,    -8388608,    -8388608,20000, 1,
     28031,     -992906,    -1019642,    -8388608,    -8388608,20000, 1,
     28051,     -992271,    -1020186,    -8388608,    -8388608,20000, 1,
     28071,     -992150,    -1020352,    -8388608,    -8388608,20000, 1,
     28091,     -992654,    -1019920,    -8388608,    -8388608,20000, 1,$GPRMC,010938.700,A,4231.1889,N,08321.7890,W,2.23,186.57,240518,,,A*7E
     28111,     -993680,    -1019093,    -8388608,    -8388608,20000, 1,
     28131,     -995443,    -1017768,    -8388608,    -8388608,20000, 1,
     28151,     -998026,    -1015645,    -8388608,    -8388608,20000, 1,
     28171,    -1001597,    -1012716,    -8388608,    -8388608,20000, 1,
     28191,    -1006951,    -1008460,    -8388608,    -8388608,20000, 1,$GPRMC,010938.800,A,4231.1888,N,08321.7889,W,2.24,186.12,240518,,,A*7E
     28211,    -1013567,    -1003253,    -8388608,    -8388608,20000, 1,
     28231,    -1019773,     -998252,    -8388608,    -8388608,20000, 1,
     28251,    -1024652,     -994388,    -8388608,    -8388608,20000, 1,
     28271,    -1026756,     -992555,    -8388608,    -8388608,20000, 1,
     28291,    -1028105,     -991405,    -8388608,    -8388608,20000, 1,$GPRMC,010938.900,A,4231.1888,N,08321.7888,W,2.24,185.80,240518,,,A*76
     28311,    -1028451,     -991096,    -8388608,    -8388608,20000, 1,
     28331,    -1026886,     -992426,    -8388608,    -8388608,20000, 1,
     28351,    -1023845,     -994877,    -8388608,    -8388608,20000, 1,
     28371,    -1020572,     -997627,    -8388608,    -8388608,20000, 1,
     28391,    -1016406,    -1000891,    -8388608,    -8388608,20000, 1,$GPRMC,010939.000,A,4231.1886,N,08321.7887,W,2.25,185.34,240518,,,A*71
     28411,    -1010963,    -1005365,    -8388608,    -8388608,20000, 1,
     28431,    -1004615,    -1010427,    -8388608,    -8388608,20000, 1,
     28451,     -997787,    -1015897,    -8388608,    -8388608,20000, 1,
     28471,     -992241,    -1020242,    -8388608,    -8388608,20000, 1,
     28491,     -988774,    -1022878,    -8388608,    -8388608,20000, 1,$GPRMC,010939.100,A,4231.1880,N,08321.7885,W,2.57,183.11,240518,,,A*70
     28511,     -987290,    -1024278,    -8388608,    -8388608,20000, 1,
     28531,     -986908,    -1024587,    -8388608,    -8388608,20000, 1,
     28551,     -986995,    -1024476,    -8388608,    -8388608,20000, 1,
     28571,     -988593,    -1023237,    -8388608,    -8388608,20000, 1,
     28591,     -991611,    -1020675,    -8388608,    -8388608,20000, 1,$GPRMC,010939.200,A,4231.1878,N,08321.7883,W,2.58,182.62,240518,,,A*78
     28611,     -995554,    -1017643,    -8388608,    -8388608,20000, 1,
     28631,     -999233,    -1014705,    -8388608,    -8388608,20000, 1,
     28651,    -1003488,    -1011387,    -8388608,    -8388608,20000, 1,
     28671,    -1009638,    -1006476,    -8388608,    -8388608,20000, 1,
     28691,    -1017261,    -1000258,    -8388608,    -8388608,20000, 1,$GPRMC,010939.300,A,4231.1873,N,08321.7881,W,2.84,181.17,240518,,,A*70
     28711,    -1022870,     -995745,    -8388608,    -8388608,20000, 1,
     28731,    -1024712,     -994189,    -8388608,    -8388608,20000, 1,
     28751,    -1024720,     -994083,    -8388608,    -8388608,20000, 1,
     28771,    -1024772,     -994807,    -8389027,    -8389027,20000, 1,
     28791,    -1023006,     -996286,    -8389027,    -8389027,20000, 1,$GPRMC,010939.400,A,4231.1869,N,08321.7879,W,3.02,180.22,240518,,,A*73
     28811,    -1021294,     -997820,    -8389027,    -8389027,20000, 1,
     28831,    -1018481,    -1000109,    -8389027,    -8389027,20000, 1,
     28851,    -1013795,    -1003863,    -8389027,    -8389027,20000, 1,
     28871,    -1007054,    -1009210,    -8389027,    -8389027,20000, 1,
     28891,     -999461,    -1015263,    -8389027,    -8389027,20000, 1,$GPRMC,010939.500,A,4231.1868,N,08321.7876,W,3.12,178.60,240518,,,A*7C
     28911,     -992428,    -1020845,    -8389027,    -8389027,20000, 1,
     28931,     -988155,    -1024296,    -8389027,    -8389027,20000, 1,
     28951,     -986744,    -1025553,    -8389027,    -8389027,20000, 1,
     28971,     -986173,    -1025801,    -8389027,    -8389027,20000, 1,
     28991,     -986479,    -1025670,    -8389027,    -8389027,20000, 1,$GPRMC,010939.600,A,4231.1867,N,08321.7875,W,3.14,178.12,240518,,,A*70
     29011,     -987271,    -1025004,    -8389027,    -8389027,20000, 1,
     29031,     -988938,    -1023805,    -8389027,    -8389027,20000, 1,
     29051,     -991355,    -1021927,    -8389027,    -8389027,20000, 1,
     29071,     -993689,    -1019958,    -8389027,    -8389027,20000, 1,
     29091,     -995853,    -1018205,    -8389027,    -8389027,20000, 1,$GPRMC,010939.700,A,4231.1868,N,08321.7874,W,3.08,177.69,240518,,,A*71
     29111,     -999661,    -1015278,    -8389027,    -8389027,20000, 1,
     29131,    -1006338,    -1009905,    -8389027,    -8389027,20000, 1,
     29151,    -1015424,    -1002780,    -8389027,    -8389027,20000, 1,
     29171,    -1023434,     -996339,    -8389027,    -8389027,20000, 1,
     29191,    -1027259,     -993179,    -8389027,    -8389027,20000, 1,$GPRMC,010939.800,A,4231.1868,N,08321.7873,W,3.08,177.67,240518,,,A*77
     29211,    -1027610,     -992457,    -8389027,    -8389027,20000, 1,
     29231,    -1027629,     -992586,    -8389027,    -8389027,20000, 1,
     29251,    -1026606,     -993468,    -8389027,    -8389027,20000, 1,
     29271,    -1025308,     -994523,    -8389027,    -8389027,20000, 1,
     29291,    -1023211,     -996125,    -8389027,    -8389027,20000, 1,$GPRMC,010939.900,A,4231.1868,N,08321.7872,W,3.03,177.57,240518,,,A*7F
     29311,    -1019773,     -998840,    -8389027,    -8389027,20000, 1,
     29331,    -1013265,    -1004263,    -8389027,    -8389027,20000, 1,
     29351,    -1002417,    -1013034,    -8389027,    -8389027,20000, 1,
     29371,     -992638,    -1020980,    -8389027,    -8389027,20000, 1,
     29391,     -988900,    -1024087,    -8389027,    -8389027,20000, 1,$GPRMC,010940.000,A,4231.1868,N,08321.7872,W,2.98,177.42,240518,,,A*7F
     29411,     -989473,    -1023389,    -8389027,    -8389027,20000, 1,
     29431,     -990791,    -1022501,    -8389027,    -8389027,20000, 1,
     29451,     -991219,    -1022151,    -8389027,    -8389027,20000, 1,
     29471,     -992288,    -1021242,    -8389027,    -8389027,20000, 1,
     29491,     -995251,    -1018892,    -8389027,    -8389027,20000, 1,$GPRMC,010940.100,A,4231.1868,N,08321.7871,W,2.94,177.46,240518,,,A*75
     29511,     -999211,    -1015580,    -8389027,    -8389027,20000, 1,
     29531,    -1002862,    -1012797,    -8389027,    -8389027,20000, 1,
     29551,    -1005089,    -1010926,    -8389027,    -8389027,20000, 1,
     29571,    -1007112,    -1009221,    -8389027,    -8389027,20000, 1,
     29591,    -1007916,    -1008594,    -8389027,    -8389027,20000, 1,$GPRMC,010940.200,A,4231.1868,N,08321.7871,W,2.93,178.21,240518,,,A*7F
     29611,    -1008286,    -1008110,    -8389027,    -8389027,20000, 1,
     29631,    -1008710,    -1007998,    -8389027,    -8389027,20000, 1,
     29651,    -1008877,    -1007867,    -8389027,    -8389027,20000, 1,
     29671,    -1008859,    -1007827,    -8389027,    -8389027,20000, 1,
     29691,    -1008880,    -1007872,    -8389027,    -8389027,20000, 1,$GPRMC,010940.300,A,4231.1868,N,08321.7871,W,2.93,179.04,240518,,,A*78
     29711,    -1008884,    -1007847,    -8389027,    -8389027,20000, 1,
     29731,    -1008962,    -1007842,    -8389027,    -8389027,20000, 1,
     29751,    -1008933,    -1007830,    -8389027,    -8389027,20000, 1,
     29771,    -1008913,    -1007869,    -8389027,    -8389027,20000, 1,
     29791,    -1008969,    -1007844,    -8389027,    -8389027,20000, 1,$GPRMC,010940.400,A,4231.1868,N,08321.7871,W,2.94,179.76,240518,,,A*7D
     29811,    -1008971,    -1007885,    -8389027,    -8389027,20000, 1,
     29831,    -1008917,    -1007847,    -8389027,    -8389027,20000, 1,
